省,城市,运营商,DNS服务器,接入方式,操作系统,浏览器,目标IP,目标城市,目标运营商,Label
四川省,成都市,中国电信,61.139.2.69,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
广东省,广州市,中国电信,"202.96.128.86,202.96.134.133",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
广东省,广州市,中国电信,"202.96.128.86,202.96.134.33",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
上海,上海市,中国移动,211.136.112.50,LastMile,Windows XP sp3,Chrome 31.1650.1761.0,111.47.246.1,武汉市,中国移动,0
广东省,广州市,中国电信,"202.96.128.166,202.96.128.86",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,14.152.71.1,广州市,中国电信,0
上海,上海市,中国电信,"202.96.209.5,202.96.209.133",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,114.80.62.1,上海市,中国电信,0
上海,上海市,中国电信,"180.168.255.118,116.228.111.18",LastMile,Windows 7,Chrome 31.1650.1761.0,114.80.62.1,上海市,中国电信,0
四川省,成都市,中国电信,61.139.2.69,LastMile,Windows 7,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
湖北省,武汉市,中国联通,"218.104.111.114,218.104.111.122",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,58.20.88.1,长沙市,中国联通,0
北京,北京市,中国移动,"221.130.33.60,221.130.33.52",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
北京,北京市,中国移动,"221.130.33.60,221.130.33.52",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
北京,北京市,中国移动,221.130.33.52,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
天津,天津市,中国联通,"202.99.96.68,202.99.104.68",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,121.18.212.129,保定市,中国联通,0
天津,天津市,中国联通,202.99.96.68,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,121.18.212.129,保定市,中国联通,0
广西壮族自治区,南宁市,中国铁通,"222.52.118.216,211.98.4.1",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
甘肃,兰州市,中国联通,"221.7.34.10,221.7.34.11",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,123.138.156.1,西安市,中国联通,0
天津,天津市,中国电信,"123.150.150.150,219.150.32.132",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,106.39.178.1,北京市,中国电信,0
江西省,南昌市,中国电信,202.101.224.68,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,14.152.71.1,广州市,中国电信,0
甘肃,兰州市,中国电信,202.100.64.68,LastMile,Windows 10,Chrome 31.1650.1761.0,117.34.35.1,西安市,中国电信,0
广西壮族自治区,南宁市,中国铁通,"222.52.118.216,211.98.4.1",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
